"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
2;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
3;"J7";"JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal";1;"TMP36-TO92";;;
4;"C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"10n";;;
5;"U2";"DIP-6_W10.45mm_LongPads";1;"ABPDANT015PGAA5";;;
6;"U3";"Texas_PWSON-N6";1;"HDC1080";;;
7;"R6,R5,R3,R2,R1,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1k";;;
8;"J6";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09";;;
9;"D3";"LED_D5.0mm";1;"GR LED";;;
10;"D2";"LED_D5.0mm";1;"OR LED";;;
11;"D1";"LED_D5.0mm";1;"BL LED";;;
12;"D4";"LED_D5.0mm";1;"PR LED";;;
13;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
14;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Analog";;;
15;"J2";"PinSocket_1x10_P2.54mm_Vertical";1;"Digital/PWM";;;
16;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"Digital/PWM";;;
17;"D6";"LED_D5.0mm";1;"YE LED";;;
18;"D5";"LED_D5.0mm";1;"RD LED";;;
19;"C1,C3";"C_Disc_D4.3mm_W1.9mm_P5.00mm";2;".1u";;;
